Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
提交,to submit (smth to sbdy w/ t- not 提出),tíjiāo,提交,,,,,,,,
订单,a (purchase) order,dìngdān,订单,,,,,,,,
退货,to return (merchandise),"""<span class=""""tone4"""">tuì</span><span class=""""tone4"""">huò</span> <!-- tui huo -->""","""<span class=""""tone4"""">退</span><span class=""""tone4"""">货</span>""",,[sound:退货_google_zh-CN.mp3],,退貨,,"""<span class=""""tone4""""><ruby>退<rt>tuì</rt></ruby></span><span class=""""tone4""""><ruby>货<rt>huò</rt></ruby></span>""",_ _,
靴子,boots,xuēzi,靴子,,,,,,,,
汇,to transfer (money)<br>to wire,huì,汇,,,,,,,_,
委托,<div>to entrust...</div>comission (to do something),wěituō,委托,,,,,,,,
传教士,missionary,chuánjiào shì,传教士,,,,,,,,
利玛窦,Matteo Ricci,Lì Mǎ dòu,利玛窦,,,,,,,,
场馆,arena<div>sporting venue</div>,"""<span class=""""tone3"""">chǎng</span><span class=""""tone3"""">guǎn</span> <!-- chang guan -->""","""<span class=""""tone3"""">场</span><span class=""""tone3"""">馆</span>""",,[sound:场馆_google_zh-CN.mp3],,場館,,"""<span class=""""tone3""""><ruby>场<rt>chǎng</rt></ruby></span><span class=""""tone3""""><ruby>馆<rt>guǎn</rt></ruby></span>""",_ _,
公众,the public,gōngzhòng,公众,,,,,,,,
对公众开放,to open to the public,duì gōngzhòng kāifàng,对公众开放,,,,,,,_ _ _ _ _,
内脏,internal organs (w/ n),"""<span class=""""tone4"""">nèi</span><span class=""""tone4"""">zàng</span> <!-- nei zang -->""","""<span class=""""tone4"""">内</span><span class=""""tone4"""">脏</span>""",,[sound:内脏_google_zh-CN.mp3],,內臟,,"""<span class=""""tone4""""><ruby>内<rt>nèi</rt></ruby></span><span class=""""tone4""""><ruby>脏<rt>zàng</rt></ruby></span>""",_ _,
切成片,to cut into slices,qiè chéng piàn,切成片,,,,,,,,
切成丝,to shred<div>to cut into shreds</div>,qiè chéng sī,切成丝,,,,,,,,
切成末,to finely chop,qiè chéng mò,切成末,,,,,,,,
世界级,world-class,shìjiè jí,世界级,,,,,,,,
奥林匹克,Olympic<div>the Olympics</div>,àolínpǐkè,奥林匹克,,,,,,,,
无比地,incomparably...,wúbǐ de,无比地,,,,,,,,
指甲,fingernail,zhǐjiǎ,指甲,,,,,,,,
脚指甲,toenail,jiǎo zhǐjiǎ,脚指甲,,,,,,,,
浸泡,to soak<div>to marinate</div><div>to steep</div>,"""<span class=""""tone4"""">jìn</span><span class=""""tone4"""">pào</span> <!-- jin pao -->""","""<span class=""""tone4"""">浸</span><span class=""""tone4"""">泡</span>""",,[sound:浸泡_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>浸<rt>jìn</rt></ruby></span><span class=""""tone4""""><ruby>泡<rt>pào</rt></ruby></span>""",_ _,
羊毛,wool,yángmáo,羊毛,,,,,,,,
项链,necklace,"""<span class=""""tone4"""">xiàng</span><span class=""""tone4"""">liàn</span> <!-- xiang lian -->""","""<span class=""""tone4"""">项</span><span class=""""tone4"""">链</span>""",,[sound:项链_google_zh-CN.mp3],,項鏈,,"""<span class=""""tone4""""><ruby>项<rt>xiàng</rt></ruby></span><span class=""""tone4""""><ruby>链<rt>liàn</rt></ruby></span>""",_ _,
夹克,jacket,"""<span class=""""tone2"""">jiá</span><span class=""""tone4"""">kè</span> <!-- jia ke -->""","""<span class=""""tone2"""">夹</span><span class=""""tone4"""">克</span>""",,[sound:夹克_google_zh-CN.mp3],,夾克,,"""<span class=""""tone2""""><ruby>夹<rt>jiá</rt></ruby></span><span class=""""tone4""""><ruby>克<rt>kè</rt></ruby></span>""",_ _,
鱿鱼,squid,yóuyú,鱿鱼,,,,,,,,
炒,to saute<div>to stir-fry</div>,chǎo,炒,,,,,,,,
精美,fine (as in excellent - w/ j),"""<span class=""""tone1"""">jīng</span><span class=""""tone3"""">měi</span> <!-- jing mei -->""","""<span class=""""tone1"""">精</span><span class=""""tone3"""">美</span>""",,[sound:精美_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>精<rt>jīng</rt></ruby></span><span class=""""tone3""""><ruby>美<rt>měi</rt></ruby></span>""",_ _,
紧急,urgent,jǐnjí,紧急,,,,,,,,
疑问,doubt (w/ y - n.),yíwèn,疑问,,,,,,,,
我没有疑问,"""I don't doubt it""",wǒ méiyǒu yíwèn,我没有疑问,,,,,,,,
盈利,profit (w/ y)<div>to make profits</div>,yínglì,盈利,,,,,,,,
菜色,dishes (on a menu),"""<span class=""""tone4"""">cài</span><span class=""""tone4"""">sè</span> <!-- cai se -->""","""<span class=""""tone4"""">菜</span><span class=""""tone4"""">色</span>""",,[sound:菜色_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>菜<rt>cài</rt></ruby></span><span class=""""tone4""""><ruby>色<rt>sè</rt></ruby></span>""",_ _,
缴费,to pay a fee,jiǎofèi,缴费,,,,,,,,
投篮球,to shoot a basket (basketball),tóu lánqiú,投篮球,,,,,,,,
提问,to question,tíwèn,提问,,,,,,,,
向他提问,to question him<div>to ask him a question</div>,xiàng tā tíwèn,向他提问,,,,,,,_ _ _ _,
穿着,attire<div>dress (n.)</div>,chuānzhuó,穿着,,,,,,,,
连锁,chain (store etc),liánsuǒ,连锁,,,,,,,,
连锁酒店,a hotel chain,liánsuǒ jiǔdiàn,连锁酒店,,,,,,,,
因。。。而出名,to be famous for...,yīn... ér chūmíng,因。。。而出名,,,,,,,,
在饮食上花钱,to spend money on food,zài yǐnshí shàng huā qián,在饮食上花钱,,,,,,,,
厄瓜多尔,Ecuador,èguāduō ěr,厄瓜多尔,,,,,,,,
光着腿。。。,(to do something) bare legged,guāngzhe tuǐ...,光着腿。。。,,,,,,,,
墨镜,sunglasses,mòjìng,墨镜,,,,,,,_ _,
女装,"""women's clothing""",nǚzhuāng,女装,,,,,,,,
男装,"""men's clothing""",nánzhuāng,男装,,,,,,,,
优雅,elegant (not 优美)<div>graceful</div>,yōuyǎ,优雅,,,,,,,,
记不起来,"""can't remember... (as in can't commit to memory)""",jì bù qǐlái,记不起来,,,,,,,_ _ _ _,
自我尊重,self-respect,zìwǒ zūnzhòng,自我尊重,,,,,,,,
关节,joints,guānjié,关节,,,,,,,,
购物车,shopping cart,gòuwù chē,购物车,,,,,,,,
生活缴费,living expenses,shēnghuó jiǎofèi,生活缴费,,,,,,,,
门锁,lock (n. - of a door),ménsuǒ,门锁,,,,,,,,
断续,intermittent,duànxù,断续,,,,,,,,
断断续续地,intermittently...,duànduànxùxù di,断断续续地,,,,,,,,
水暖工,plumber,shuǐ nuǎn gōng,水暖工,,,,,,,,
天花板,ceiling,tiānhuā bǎn,天花板,,,,,,,,
赤裸,naked (adj.) w/ ch,chìluǒ,赤裸,,,,,,,,
截肢,to amputate,jiézhī,截肢,,,,,,,,
皈依,to convert to (religion),guīyī,皈依,,,,,,,,
皈依成为基督教徒,to convert to christianity,guīyī chéngwéi jīdū jiàotú,皈依成为基督教徒,,,,,,,,
裹脚,"""foot binding<div>to bind one's feet</div>""","""<span class=""""tone3"""">guǒ</span><span class=""""tone3"""">jiǎo</span> <!-- guo jiao -->""","""<span class=""""tone3"""">裹</span><span class=""""tone3"""">脚</span>""",,[sound:裹脚_google_zh-CN.mp3],,裹腳,,"""<span class=""""tone3""""><ruby>裹<rt>guǒ</rt></ruby></span><span class=""""tone3""""><ruby>脚<rt>jiǎo</rt></ruby></span>""",_ _,
首要,"primary, of chief importance",shǒuyào,首要,,,,,,,,
首要原因,the primary reason,shǒuyào yuányīn,首要原因,,,,,,,,
安心,"""peace of mind<div>to set one's mind at ease</div>""",ānxīn,安心,,,,,,,,
轰动,to cause a sensation/commotion<div>a sensation</div>,hōngdòng,轰动,,,,,,,,
碰巧,by chance...<div>by coincidence...</div>,pèngqiǎo,碰巧,,,,,,,,
A付给 B,A pays B,A fù gěi B,A付给 B,,,,,,,,
定制,custom made<div>to have something custom made</div>,dìngzhì,定制,,,,,,,,
无意义,meaningless,wú yìyì,无意义,,,,,,,_ _ _,
搜索,to search (a place/database/google),sōusuǒ,搜索,,,,,,,,
参与,to participate (deeper than 参加),cānyù,参与,,,,,,,,
独自,alone (w/ du),dúzì,独自,,,,,,,,
业余,amateur... (adj),yèyú,业余,,,,,,,,
业余钢琴手,amateur pianist,yèyú gāngqín shǒu,业余钢琴手,,,,,,,,
谐音,homophone (n.)<div>homophonic (adj.)</div>,xiéyīn,谐音,,,,,,,,
我们很赶,we are in a hurry,Wǒmen hěn gǎn,我们很赶,,,,,,,,
娱乐设施,recreational facilities,yúlè shèshī,娱乐设施,,,,,,,,
桌球,pool<div>billiards</div>,zhuōqiú,桌球,,,,,,,,
睡午觉,to take an afternoon nap,shuì wǔjiào,睡午觉,,,,,,,,
贴纸,sticker,tiēzhǐ,贴纸,,,,,,,,
建筑工人,construction worker,jiànzhú gōngrén,建筑工人,,,,,,,_ _ _ _,
建筑师,architecht,jiànzhú shī,建筑师,,,,,,,,
涂鸦,graffiti,túyā,涂鸦,,,,,,,,
塞车,traffic jam,sāichē,塞车,,,,,,,,
停车,"""to park (of one's vehicle)<div>to pull up (stop one's vehicle)</div>""",tíngchē,停车,,,,,,,,
有心,considerate<div>to have a mind to...</div><div>to intend to...</div>,yǒuxīn,有心,,,,,,,,
承包商,contractor,chéngbāo shāng,承包商,,,,,,,,
远程工作,to work remotely,yuǎnchéng gōngzuò,远程工作,,,,,,,,
托付,to entrust (not 委托),tuōfù,托付,,,,,,,,
凌晨,the very early morning (w/ l),"""<span class=""""tone2"""">líng</span><span class=""""tone2"""">chén</span> <!-- ling chen -->""","""<span class=""""tone2"""">凌</span><span class=""""tone2"""">晨</span>""",,[sound:凌晨_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>凌<rt>líng</rt></ruby></span><span class=""""tone2""""><ruby>晨<rt>chén</rt></ruby></span>""",_ _,
无尾礼服,tuxedo (w/o tails),wú wěi lǐfú,无尾礼服,,,,,,,,
喷,to spray,pēn,喷,,,,,,,,
喷涂鸦,to spray graffiti,pēn túyā,喷涂鸦,,,,,,,,
天文台,(astronomical) observatory,tiānwén tái,天文台,,,,,,,,
望远镜,telescope<div>binoculars</div>,wàngyuǎn jìng,望远镜,,,,,,,,
堕胎,abortion<div>to have an abortion</div>,duòtāi,堕胎,,,,,,,,
强奸犯,rapist,qiángjiān fàn,强奸犯,,,,,,,,
同义词,synonym,tóngyì cí,同义词,,,,,,,,
强奸,to rape (not 强暴),qiángjiān,强奸,,,,,,,,
超过一定的时期之后,after a certain period of time,chāoguò yīdìng de shíqī zhīhòu,超过一定的时期之后,,,,,,,,
联盟,alliance<div>coalition</div>,liánméng,联盟,,,,,,,,
曲奇饼,cookie (transliteration),qǔqí bǐng,曲奇饼,,,,,,,,
已经做好的披萨饼皮,pre-made pizza crust,yǐjīng zuò hǎo de pīsà bǐng pí,已经做好的披萨饼,,,,,,,,
罗勒,basil,"""<span class=""""tone2"""">luó</span><span class=""""tone4"""">lè</span> <!-- luo le -->""","""<span class=""""tone2"""">罗</span><span class=""""tone4"""">勒</span>""",,[sound:罗勒_google_zh-CN.mp3],,羅勒,,"""<span class=""""tone2""""><ruby>罗<rt>luó</rt></ruby></span><span class=""""tone4""""><ruby>勒<rt>lè</rt></ruby></span>""",_ _,
香肠,sausage,xiāngcháng,香肠,,,,,,,,
阿拉丁,Aladdin,ālā dīng,阿拉丁,,,,,,,,
音乐剧,musical (theater),Yīnyuè jù,音乐剧,,,,,,,,
克隆,clone,kèlóng,克隆,,,,,,,,
平行宇宙,parallel universe,píngxíng yǔzhòu,平行宇宙,,,,,,,,
平行,parallel,píngxíng,平行,,,,,,,,
A和B平行,A is parallel to B,A hé B píngxíng,A和B平行,,,,,,,,
证伪,to disprove<div>to falsify</div>,zhèngwěi,证伪,,,,,,,,
无限的,unlimited<div>infinite</div>,wúxiàn de,无限的,,,,,,,,
定义,definition (w/ d)<div>to define</div>,dìngyì,定义,,,,,,,,
太阳系,solar system,tàiyang xì,太阳系,,,,,,,,
私立学校,private schools,sīlì xuéxiào,私立学校,,,,,,,,
公立学校,public schools,"""<span class=""""tone1"""">gōng</span><span class=""""tone4"""">lì</span> <span class=""""tone2"""">xué</span><span class=""""tone4"""">xiào</span> <!-- gong li xue xiao -->""","""<span class=""""tone1"""">公</span><span class=""""tone4"""">立</span><span class=""""tone2"""">学</span><span class=""""tone4"""">校</span>""",,[sound:公立学校_google_zh-CN.mp3],,公立學校,,"""<span class=""""tone1""""><ruby>公<rt>gōng</rt></ruby></span><span class=""""tone4""""><ruby>立<rt>lì</rt></ruby></span><span class=""""tone2""""><ruby>学<rt>xué</rt></ruby></span><span class=""""tone4""""><ruby>校<rt>xiào</rt></ruby></span>""",_ _ _ _,
厨艺,cooking (n.),chú yì,厨艺,,,,,,,,
说来话长。。。,"""It's a long story...<div>a long story</div>""",Shuō lái huà zhǎng...,说来话长。。。,,,,,,,,
解放,to liberate<div>to free</div><div>to emancipate</div>,jiěfàng,解放,,,,,,,,
奴隶,slave,núlì,奴隶,,,,,,,,
酒鬼,alcoholic (person),jiǔguǐ,酒鬼,,,,,,,,
部落,tribe,"""<span class=""""tone4"""">bù</span><span class=""""tone4"""">luò</span> <!-- bu luo -->""","""<span class=""""tone4"""">部</span><span class=""""tone4"""">落</span>""",,[sound:部落_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>部<rt>bù</rt></ruby></span><span class=""""tone4""""><ruby>落<rt>luò</rt></ruby></span>""",_ _,
学术,academics<div>learning</div><div>academic (adj.)</div>,xuéshù,学术,,,,,,,,
装作,to pretend (w/ zh),zhuāngzuò,装作,,,,,,,,
掉头,U-turn<div>to make a U-turn</div>,diàotóu,掉头,,,,,,,,
腹痛,bellyache<div>stomach pain</div>,fùtòng,腹痛,,,,,,,_ _,
腹泻,diarrhea,fùxiè,腹泻,,,,,,,_ _,
恶心,nausea<div>nauseating</div><div>disgust</div><div>disgusting</div>,ěxin,恶心,,,,,,,,
条码,barcode (not QR code),tiáomǎ,条码,,,,,,,,
供应商,supplier (business),gōngyìng shāng,供应商,,,,,,,,
捐赠者,donor<div>contributor</div>,juānzèng zhě,捐赠者,,,,,,,,
抽血,to draw blood,chōuxuè,抽血,,,,,,,,
我不好说,"""I can't say...""",wǒ bù hǎoshuō,我不好说,,,,,,,,
我差一点忘了...,I nearly forgot...,wǒchà yīdiǎn wàngle...,我差一点忘了...,,,,,,,,
仪式,ceremony,yíshì,仪式,,,,,,,,
婚礼仪式,wedding ceremony,Hūnlǐ yíshì,婚礼仪式,,,,,,,,
新郎,groom,xīnláng,新郎,,,,,,,,
新娘,bride,xīnniáng,新娘,,,,,,,,
婚纱,wedding dress,hūnshā,婚纱,,,,,,,,
头纱,veil (wedding),tóushā,头纱,,,,,,,,
掀开,to lift open,"""<span class=""""tone1"""">xiān</span><span class=""""tone1"""">kāi</span> <!-- xian kai -->""","""<span class=""""tone1"""">掀</span><span class=""""tone1"""">开</span>""",,[sound:掀开_google_zh-CN.mp3],,掀開,,"""<span class=""""tone1""""><ruby>掀<rt>xiān</rt></ruby></span><span class=""""tone1""""><ruby>开<rt>kāi</rt></ruby></span>""",_ _,
掀,to lift (a lid-type thing),xiān,掀,,,,,,,,
姐妹团,wedding party (brides),jiěmèi tuán,姐妹团,,,,,,,,
伴郎团,"""wedding party (groom's)""",bànláng tuán,伴郎团,,,,,,,,
我擅长...,"""I'm good at...""",wǒ shàncháng ....,我擅长...,,,,,,,,
心动,heartbeat (not 心跳),xīndòng,心动,,,,,,,,
激情,passion,jīqíng,激情,,,,,,,,
我前女友,my previous girlfriend,wǒ qián nǚyǒu,我前女友,,,,,,,,
悸动,to throb (w/ j)<br>throbbing<br>to pulse<br>pulsing,jì dòng,悸动,,,,,,,,
一见钟情,love at first sight,yījiànzhōngqíng,一见钟情,,,,,,,,
接,to answer (the phone),jiē,接,,,,,,,,
接一通电话,to answer a phone call<br>to take a call,jiē yītòng diànhuà,接一通电话,,,,,,,,
漏接,to miss (a phone call),lòu jiē,漏接,,,,,,,,
漏接一通电话,to miss a phone call,lòu jiē yītòng diànhuà,漏接一通电话,,,,,,,,
亲近的朋友,a close friend,qīnjìn de péngyǒu,亲近的朋友,,,,,,,,
接球,to catch a ball,"""<span class=""""tone1"""">jiē</span> <span class=""""tone2"""">qiú</span> <!-- jie qiu -->""","""<span class=""""tone1"""">接</span><span class=""""tone2"""">球</span>""",,[sound:接球_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>接<rt>jiē</rt></ruby></span><span class=""""tone2""""><ruby>球<rt>qiú</rt></ruby></span>""",_ _,
婚礼誓词,wedding vows,"""<span class=""""tone1"""">hūn</span><span class=""""tone3"""">lǐ</span> <span class=""""tone4"""">shì</span><span class=""""tone2"""">cí</span> <!-- hun li shi ci -->""","""<span class=""""tone1"""">婚</span><span class=""""tone3"""">礼</span><span class=""""tone4"""">誓</span><span class=""""tone2"""">词</span>""",,[sound:婚礼誓词_google_zh-CN.mp3],,婚禮誓詞,,"""<span class=""""tone1""""><ruby>婚<rt>hūn</rt></ruby></span><span class=""""tone3""""><ruby>礼<rt>lǐ</rt></ruby></span><span class=""""tone4""""><ruby>誓<rt>shì</rt></ruby></span><span class=""""tone2""""><ruby>词<rt>cí</rt></ruby></span>""",_ _ _ _,
誓词,vow,shìcí,誓词,,,,,,,,
手捧花,(bridal) bouquet,shǒu pěng huā,手捧花,,,,,,,,
台词,lines (of dialogue),táicí,台词,,,,,,,,
野蛮人,barbarian,yěmán rén,野蛮人,,,,,,,,
黑社会,(criminal) underworld,hēi shèhuì,黑社会,,,,,,,,
黑手党,the mafia,hēishǒu dǎng,黑手党,,,,,,,,
对待,to treat (someone someway)<div>treatment (not 待遇)</div>,duìdài,对待,,,,,,,,
谷物片,(breakfast) cereal,gǔwù piàn,谷物片,,,,,,,,
玉米片,"""(Kellog's) corn flakes<div>tortilla chips</div>""",yùmǐ piàn,玉米片,,,,,,,,
燕麦粥,oatmeal<div>porridge</div>,yànmài zhōu,燕麦粥,,,,,,,,
燕麦,oats,yànmài,燕麦,,,,,,,,
崩溃,to collapse (w/ b)<div>to crumble</div><div>to fall apart</div>,bēngkuì,崩溃,,,,,,,,
富得流油,filthy rich,fù dé liú yóu,富得流油,,,,,,,_ _ _ _,
放鸽子,to stand someone up,fàng gēzi,放鸽子,,,,,,,,
红得发紫,popular in the extreme,"""<span class=""""tone2"""">hóng</span> <span class=""""tone2"""">dé</span> <span class=""""tone1"""">fā</span> <span class=""""tone3"""">zǐ</span> <!-- hong de fa zi -->""","""<span class=""""tone2"""">红</span><span class=""""tone2"""">得</span><span class=""""tone1"""">发</span><span class=""""tone3"""">紫</span>""",,[sound:红得发紫_google_zh-CN.mp3],,"紅得發, 髮紫",,"""<span class=""""tone2""""><ruby>红<rt>hóng</rt></ruby></span><span class=""""tone2""""><ruby>得<rt>dé</rt></ruby></span><span class=""""tone1""""><ruby>发<rt>fā</rt></ruby></span><span class=""""tone3""""><ruby>紫<rt>zǐ</rt></ruby></span>""",_ _ _ _,
兜比脸干净,pockets cleaner than your face (to express poverty),dōu bǐ liǎn gānjìng,兜比脸干净,,,,,,,_ _ _ _ _,
贬值,to depreciate<div>to become devalued</div>,biǎnzhí,biǎnzhí,贬值,,,,,,,
基金,a fund (financial - w/ j),jījīn,基金,,,,,,,,
理财,financial management,lǐcái,理财,,,,,,,_ _,
街区,a block (between streets),jiēqū,街区,,,,,,,,
上进心,ambition<div>motivation</div>,shàngjìn xīn,上进心,,,,,,,_ _ _,
雄心,(great) ambition<div>lofty aspiration</div>,xióngxīn,雄心,,,,,,,,
有雄心,ambitious (great and lofty),yǒu xióngxīn,有雄心,,,,,,,_ _ _,
土著,natives<div>indigineous people</div>,tǔzhù,土著,,,,,,,,
赶出去,to kick (smbdy) out (w/ g)<div>to drive out</div>,gǎn chūqù,赶出去,,,,,,,,
脱口秀,talk show,tuō kǒu xiù,脱口秀,,,,,,,,
魔术师,magician,móshù shī,魔术师,,,,,,,,
城市化,urbanization,chéngshì huà,城市化,,,,,,,,
游戏玩家,a gamer,yóuxì wánjiā,游戏玩家,,,,,,,,
终点线,the finish line,zhōngdiǎn xiàn,终点线,,,,,,,,
到达终点线,to reach the finish line,dàodá zhōngdiǎn xiàn,到达终点线,,,,,,,,
市值,market value,shìzhí,市值,,,,,,,,
生疏,rusty (out of practice),shēngshū,生疏,,,,,,,,
通货膨胀,inflation (monetary),tōnghuò péngzhàng,通货膨胀,,,,,,,,
偶然,accidentally (w/ ou)<div>incidentally</div>,ǒurán,偶然,,,,,,,,
给他们加油,to cheer them on,gěi tāmen jiāyóu,给他们加油,,,,,,,,
手段,means (of doing something),shǒuduàn,手段,,,,,,,,
危害,harm<div>harmful (w/ w)</div>,wēihài,危害,,,,,,,,
劝告,"to advise, to urge<div>advice</div><div>exhortation</div>",quàngào,劝告,,,,,,,_ _,
中病毒,to contract a virus,zhòng bìngdú,中病毒,,,,,,,_ _ _,
天南地北地聊,to talk about this and that,tiānnándìběi de liáo,天南地北地聊,,,,,,,,
玛丽,Mary (name),mǎlì,玛丽,,,,,,,,
幸好,fortunately... (w/ x),xìnghǎo,幸好,,,,,,,_ _,
分类,classification (w/ f)<div>to classify</div>,"""<span class=""""tone1"""">fēn</span><span class=""""tone4"""">lèi</span> <!-- fen lei -->""","""<span class=""""tone1"""">分</span><span class=""""tone4"""">类</span>""",,[sound:分类_google_zh-CN.mp3],,分類,,"""<span class=""""tone1""""><ruby>分<rt>fēn</rt></ruby></span><span class=""""tone4""""><ruby>类<rt>lèi</rt></ruby></span>""",_ _,
达人,expert (w/ d),dárén,达人,,,,,,,,
拼音,pinyin,pīnyīn,拼音,,,,,,,,
关羽,Guanyu (historical/legendary figure),Guānyǔ,关羽,,,,,,,,
身在曹营心在汉,"body in Caoying, heart in Han (chengyu)",shēn zài cáo yíng xīn zài hàn,身在曹营心在汉,,,,,,,,
胡吃海塞,to stuff oneself with food (chengyu),hú chī hǎi sāi,胡吃海塞,,,,,,,,
百年一遇,once in a century,bǎinián yī yù,百年一遇,,,,,,,,
人山人海,"people like a mountain, people like a sea (chengyu)",rénshānrénhǎi,人山人海,,,,,,,,
习以为常,something which one has become accostomed to (adj.)<div>to be taken for granted (adj.)</div><div>to take something for granted (n.)</div>,xíyǐwéicháng,习以为常,,,,,,,_ _ _ _,
温馨,"homey, warm, comfortable (of a place)",wēnxīn,温馨,,,,,,,,
悬空,"suspended (as in hanging, floating)<div>uncertain</div>",xuánkōng,悬空,,,,,,,_ _,
欣赏,to appreciate (w/ x)<div>to admire</div>,"""<span class=""""tone1"""">xīn</span><span class=""""tone3"""">shǎng</span> <!-- xin shang -->""","""<span class=""""tone1"""">欣</span><span class=""""tone3"""">赏</span>""",,[sound:欣赏_google_zh-CN.mp3],,欣賞,,"""<span class=""""tone1""""><ruby>欣<rt>xīn</rt></ruby></span><span class=""""tone3""""><ruby>赏<rt>shǎng</rt></ruby></span>""",_ _,
无知,ignorance (w/ w)<div>ignorant</div>,"""<span class=""""tone2"""">wú</span><span class=""""tone1"""">zhī</span> <!-- wu zhi -->""","""<span class=""""tone2"""">无</span><span class=""""tone1"""">知</span>""",,[sound:无知_google_zh-CN.mp3],,無知,,"""<span class=""""tone2""""><ruby>无<rt>wú</rt></ruby></span><span class=""""tone1""""><ruby>知<rt>zhī</rt></ruby></span>""",_ _,
床架,bed frame,chuángjià,床架,,,,,,,,
八卦,gossip<div>gossipy</div>,bāguà,八卦,,,,,,,,
亚利桑那,Arizona,yà lì sāngnà,亚利桑那,,,,,,,,
神圣,sacred<div>hallowed</div><div>holy</div>,shénshèng,神圣,,,,,,,_ _,
鼠标,mouse (computing),shǔbiāo,鼠标,,,,,,,,
前提,premise<div>precondition</div>,"""<span class=""""tone2"""">qián</span><span class=""""tone2"""">tí</span> <!-- qian ti -->""","""<span class=""""tone2"""">前</span><span class=""""tone2"""">提</span>""",,[sound:前提_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>前<rt>qián</rt></ruby></span><span class=""""tone2""""><ruby>提<rt>tí</rt></ruby></span>""",_ _,
帮佣,the help (n. - as in servants),bāngyōng,帮佣,,,,,,,,
满洲,Manchuria,mǎnzhōu,满洲,,,,,,,,
汉人,a Han Chinese person,hànrén,汉人,,,,,,,,
满人,a Manchu,"""<span class=""""tone3"""">mǎn</span><span class=""""tone2"""">rén</span> <!-- man ren -->""","""<span class=""""tone3"""">满</span><span class=""""tone2"""">人</span>""",,[sound:满人_google_zh-CN.mp3],,滿人,,"""<span class=""""tone3""""><ruby>满<rt>mǎn</rt></ruby></span><span class=""""tone2""""><ruby>人<rt>rén</rt></ruby></span>""",_ _,
流放,to exile<div>to banish</div>,liúfàng,流放,,,,,,,,
青铜,bronze,qīngtóng,青铜,,,,,,,,
蝙蝠,bat,biānfú,蝙蝠,,,,,,,,
蝙蝠侠,Batman,biānfú xiá,蝙蝠侠,,,,,,,,
频繁,frequently (w/ p)<div>often</div>,pínfán,频繁,,,,,,,,
电子设备,electronic device,diànzǐ shèbèi,电子设备,,,,,,,,
压缩,to compress<div>compression</div>,yāsuō,压缩,,,,,,,,
刚起步,fledgling<div>start-up...</div>,gāng qǐbù,刚起步,,,,,,,,
刚起步公司,a start-up (company),gāng qǐbù gōngsī,刚起步公司,,,,,,,,
菜鸟,rookie<div>beginner</div>,càiniǎo,菜鸟,,,,,,,,
虚拟现实,virtual reality,xūnǐ xiànshí,虚拟现实,,,,,,,,
陪我的家人,to spend time with my family,péi wǒ de jiārén,陪我的家人,,,,,,,,
碎片,chip<div>fragment</div><div>splinter</div><div>pieces</div>,suìpiàn,碎片,,,,,,,,
拉丁语,latin (language),lādīng yǔ,拉丁语,,,,,,,,
荒蛮之地,wilderness (land of desolation and barbarians),huāng mán zhī dì,荒蛮之地,,,,,,,,
微软,Microsoft,"""<span class=""""tone1"""">wēi</span><span class=""""tone3"""">ruǎn</span> <!-- wei ruan -->""","""<span class=""""tone1"""">微</span><span class=""""tone3"""">软</span>""",,[sound:微软_google_zh-CN.mp3],,微軟,,"""<span class=""""tone1""""><ruby>微<rt>wēi</rt></ruby></span><span class=""""tone3""""><ruby>软<rt>ruǎn</rt></ruby></span>""",_ _,
死亡证明,death certificate,sǐwáng zhèngmíng,死亡证明,,,,,,,,
结婚证,marraige certificate,jiéhūn zhèng,结婚证,,,,,,,,
警惕,"to be alert, vigilant<div>alert</div>",jǐngtì,警惕,,,,,,,,
煤气漏,a gas leak,méiqì lòu,煤气漏,,,,,,,_ _ _,
相对论,relativity<div>the theory of relativity</div>,xiāngduìlùn,相对论,,,,,,,,
时空场,the space time continuum,shíkōng chǎng,时空场,,,,,,,,
时空,spacetime,shíkōng,时空,,,,,,,,
近似,approximation<div>approximately</div>,"""<span class=""""tone4"""">jìn</span><span class=""""tone4"""">sì</span> <!-- jin si -->""","""<span class=""""tone4"""">近</span><span class=""""tone4"""">似</span>""",,[sound:近似_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>近<rt>jìn</rt></ruby></span><span class=""""tone4""""><ruby>似<rt>sì</rt></ruby></span>""",_ _,
弯曲,"to curve, bend, warp<div>curved</div>",wānqū,弯曲,,,,,,,,
曲率,curvature (n. - mathematics),"""<span class=""""tone1"""">qū</span><span class=""""tone4"""">lǜ</span> <!-- qu lü -->""","""<span class=""""tone1"""">曲</span><span class=""""tone4"""">率</span>""",,,,,,"""<span class=""""tone1""""><ruby>曲<rt>qū</rt></ruby></span><span class=""""tone4""""><ruby>率<rt>lǜ</rt></ruby></span>""",_ _,
原理,"principle (logical, scientific, etc...)",yuánlǐ,原理,,,,,,,,
