Hanzi,Meaning
枪,"gun, rifle"
更喜欢,to prefer
欧元,euros
橙汁,orange juice
橙子,an orange
这不算什么,It's no big deal.
爱上,to fall in love with
<div>摩天大厦</div>,skyscraper
漫步,to stroll<div>to wander</div>
<div>市区</div>,downtown
<div>排外</div>,xenophobic (adj.)
仇外,xenophobia (n.)
<div>焦点</div>,focus (n.)<div>focal point</div>
<div>包容性</div>,tolerance<div>inclusiveness</div>
包容,inclusive<div>tolerant</div><div>to show tolerance</div>
<div>热爱</div>,to adore<div>to be passionate about</div>
<div>咬</div>,bite<div>to bite</div>
<div>轻咬</div>,to nibble
乐谱,sheet music<div>musical score</div>
尊重,respect<div>to respect</div>
周围,surroundings
暴力,violence<div>violent</div>
别把我当傻子!,Don't take me as a fool!
齿轮,gear
挖,to dig
挖出来,to dig out (of the ground)
风筝,kite
竹,bamboo
叫醒,"to wake up somone (intentionally, as in calling them)"
准时,on time
歌声,singing (n.)
修理工,mechanic<div>repairman</div>
最终,finally (long period of time - not 最后)<div>eventually<br>final</div>
答案,answer (w/ d - not 答应)<div>response</div>
杂货店,grocery store
杂货,groceries
面包店,bakery
开门,to be open (of a store)<div>to open a door</div>
关门,to be closed (of a store)<div>to close a door</div>
一行接一行,line by line
清单,list of items
接受疫苗,to receive the vaccine
分发,distribution (_发)<div>to distribute</div>
期待,expectations (n.)
群体,community (larger)
群体免疫,herd immunity
免疫,immunity
殖民时期,the colonial period
传记,biography
自传,autobiography
冲突,conflict (n.)<div>to contend</div>
军队,"army (an army, not the army)"
粗浅,shallow<div>supericial</div>
吵醒,"to wake up someone (with noise, NOT calling them)"
红铜,copper
铜管(乐器),brass instrument
黄铜,brass
喇叭,horn (automobile etc.)<div>horn (brass wind instrument)</div>
透过,through (w/ tou4)<div>via</div><div>by means of</div>
吹奏,to play (a wind instrument)
吹奏者,player (of a wind instrument)
振动,to vibrate<div>vibration</div>
按键,valves (on an instrument)<div>button or key (on a device)</div>
之处,aspect (w/ zhi)
不同之处,differences (n.)
滑管,slide (trombone)
长度,length (_度)
音高,pitch
有。。。两倍长,twice as long as...
管子,tube<div>pipe</div>
因而,therefore<div>thus</div>
属于,to belong to<div>to be classified as</div>
长粗管乐器,low brass instrument
直径,diameter
半径,radius
相当,quite<div>rather</div>
制造者,manufacturer (person)<div>maker</div>
粗细,thickness
管乐器,wind instrument
原始,primitive (adj.)
操作,to operate<div>to manipulate</div><div>operation</div>
构造,structure (n. w/ g_ z_)<div>composition</div>
唯有,only... (w/ w)
音阶,(musical) scale
半音,semitone (musical interval)
半音音阶,chromatic scale
修长,slender
法国号,french horn
音色,tone<div>timbre</div><div>sound color</div>
咽,to swallow
咽不下去,unable to swallow
今天是什么日子?,What day is today?
谁知道呢？,Who knows?
未来的十年、二十年,"the next 10, 20 years"
止痛片,painkiller
智齿,wisdom tooth
药片,"pill, tablet"
提醒,to remind
小行星,asteroid
<table><tbody><tr><td>全球变暖</td></tr></tbody></table>,global warming
第二天,the next day
上台,to rise to power (in politics)
支持者,supporter
分开,to separate<div>to part</div>
关注,to pay attention to (w/ g)<div>attention</div><div>concern</div>
打包,to pack<div>to wrap</div><div>(especially for take-out)</div>
吸管,straw
<table><tbody><tr><td>扩大</td></tr></tbody></table>,to expand<div>to enlarge (w/ k esp. in scope)</div>
纸袋,paper bag
日期,"date (as in Apr 5, 2063)"
降解,to degrade<div>degradation</div>
可回收,recyclable
回收,to recycle
购物袋,shopping bag
星巴克,Starbucks
脸书,Facebook
一条胶带,a piece of tape
一卷胶带,a roll of tape
我吃的太饱了,I'm stuffed
你们谈得顺利吗？,Did your conversation go well?
接电话,to answer the phone
走吧,Let's go.
鸽子,pigeon<div>dove</div>
过分,excessive (not 过多)<div>excessively</div>
<table><tbody><tr><td>有眼光</td></tr></tbody></table>,to have good taste
眼光,gaze<div>insight<div>vision</div></div>
多亏,thanks to...
<table><tbody><tr><td>亲和力</td></tr></tbody></table>,warmth<div>approachability</div>
挑选,to choose (w/ t)<div>to select<br><div>to pick</div></div>
随你挑,Up to you！
捡到,to pick up
导演,"director (of movie, performance, etc)"
奶奶,paternal grandmother
外公,maternal grandfather
叔叔,father's younger brother
伯伯&nbsp;,father's older brother
舅舅,mother's brother
姑夫,father's sister's husband
姑妈,father's older sister
姑姑,father's younger sister
伯母,father's older brother's wife
婶婶,father's younger brother's wife
姨妈,mother's older sister
舅母,mother's brother's wife
跟我有仇,to have a grudge against me
跑出来,to run out (of a place)
关你什么事?,None of your business.
爸妈,parents (w/ b)
他们不管我,They don't care about me (w/o 关心)
无所谓,It doesn't matter (w/ w)
你快过来啊！,Come over here!
快跑！,Run!
我带你去,I'll take you (there).
一直以来,for a long time now
我不能怪他,I can't blame him
怪,to blame
朋友圈,circle of friends
大功造成！,Great job!
发言权,say<div>right to speak</div>
恭喜你！,Congratulations!
太为你高兴了！,So happy for you!
地板,floor
清白,pure<div>innocent</div><div>purity</div>
电线,wire<div>power cable</div><div>cord</div>
谣言,rumor
转身,to turn around (oneself)
小声说,to whisper
地盘,site (as in location - not 地点)
我发誓。。。,I swear...
深处,depths<div>abyss</div>
认出,to make out (to recognize)
心脏,heart
跳动,to beat<div>to throb</div><div>to pulse</div>
部件,"part, component (composed of many 零件)"
胳膊,arm
至于,as for...<div>with regards to...</div>
摄影,photo (w/ sh)
书房,study (room)
童年,childhood
向敌人报仇,to take revenge on (his/her) enemies
复仇,revenge (n.)<br>vengence
真实的打篮球,to REALLY play basketball
竞赛,a competition (w/ j)
差距,gap (metaphorical)<div>disparity</div>
拉开差距,to widen the gap
<table><tbody><tr><td>拉开</td></tr></tbody></table>,to pull open<br>to pull apart<div>to widen</div>
睡得香,to sleep soundly
跑腿,to run errands
在。。。期间,during...
照镜子,to look in the mirror
镜子,mirror
帮我一个忙,to do me a favor
繁华,"prosperous, bustling"
说不定,perhaps (not yexu)<div>maybe</div>
成员,member
信封,envelope
球状,spherical
想起,<div>to think of</div><div>to recall<br></div><div>to remember</div>
树皮,tree bark
签字,to sign (v. - formal)
不规则,irregular (shape or otherwise)
姑娘,young woman<div>young lady</div>
交给,to hand over
简短,brief
请假,to ask for leave<br>to request time off
鞋码,shoe size
高跟鞋,high heels
按计划进行,to go according to plan
转回去,to turn back
泡沫,bubble<div>foam</div>
单独,alone (w/ d - not 独自)
可无的,optional
最起码,at the very least...
无孔不入,pervasive<div>to get into every hole that exists (idiom)</div>
反射,reflection (_射)<div>to reflect</div>
失败,loss<div>failure</div><div>to lose</div><div>to fail</div>
歌词,lyrics
伞,umbrella
她忍不住笑了,She can't help but laugh.
本能,instinct
症结所在,the crux of the matter
不知不觉,unconciously...
发财,to get rich
凭什么。。。?,On what basis...?
巧合<br>,coincidence (n.)<div>coincidental</div><div>to coincide</div>
套餐,"a combo (at fast food)<div>a set meal, product or service package</div>"
表情,(facial) expression
前十名,top ten (people)
要不是。。。,If it were not for...
强迫,to force<div>to compel</div>
他强迫你帮他,He forced you to help him
后悔,regret (w/ h)
你骗不过我。,you can't fool (cheat) me
把戏,(cheap) tricks
耍把戏,to play tricks
嘲笑我,to laugh at me
看穿,"to see through (a person, a trick)"
测试,"test (smaller, less formal - not 测验)"
签名,to sign&nbsp;(less formal than 签字)<div>signature</div>
抄十遍,to copy ten times
作为你的朋友。。。,As your friend...
角度,angle<br>point of view
近道,shortcut
抄近道,to take a shortcut
杜撰,to make something up<div>to fabricate</div>
笑容,smile (笑_)
坦白,to confess<div>to come clean</div>
买单,to pay the (restaurant) bill
嗓子,throat (colloquial)<div>voice</div>
时代真是不同了,Times are a changin'
选中,to highlight (on the computer)<br>to select
拒绝,to refuse<div>to reject</div>
答应,to agree (w/ 答_)<div>to reply</div><div>to respond</div>
盲目,blind<div>to blind</div>
盲人,a blind person
空间站,space station
观察,to observe<div>observation</div>
闪烁,to flicker<div>to flash</div><div>to twinkle</div>
我答应了。。。,I agreed to...<div>I promised to...</div>
地狱,hell
头盔,helmet
水星,Mercury (planet)
金星,Venus (planet)
地球,Earth (planet)
火星,Mars (planet)
木星,Jupiter (planet)
土星,Saturn
天王星,Uranus (planet)
海王星,Neptune (planet)
冥王星,Pluto (planet)
可笑,ridiculous
背包,backpack
踩,to step on...
丢在后面的背包,the backpack that I left behind
把手伸到小河里,to reach your hand into the stream
伸,to stretch (w/ sh)<div>to extend</div>
发光,to shine<div>shining</div><div>luminous</div>
迈,to step
雨点,rain drop
气态的,gaseous
固态的,solid (adj.)
(adj.)得象(n.),as (adj.) as (n.)
应她的要求，。。。,At her request...
雷雨,thunderstorm
频率,frequency
湿,wet
实事求是,seek truth from facts
大局,the big picture<div>the general situation</div>
迷糊,muddle-headed<div>dazed</div>
珍视,to treasure<div>to cherish</div>
暗暗,<div>inwardly</div>secretly
渐渐,gradually
书签,bookmark
渴望地,longingly...
微风,breeze
老式,old-fashioned (w/ l)
消失,to disappear (as in to fade away)
平凡,ordinary (adj. - not 平常)
笔者,the author (refering to him/herself)
新近,recent (w/ 新_)
住房,housing
买得起,to be able to afford it
单位,work unit (esp in PRC prior to economic reform)
分配,to distribute (_配)<div>to allocate</div><div>to assign</div>
<table><tbody><tr><td>娶妻</td></tr></tbody></table>,to take a wife<div>to get married</div>
生子,to have a child
带孙子,to bring up a grandchild<div>to care for a grandchild</div>
孙子,grandson (son's son)
外地,non-local place<div>part of country other than where one is</div>
它要30万,"It costs 300,000"
一笔钱,a sum of money
<table><tbody><tr><td>资助</td></tr></tbody></table>,financial assistance<div>to give financial assistance to</div><div>to subsidize</div><div>subsidy</div>
积蓄,savings (money)
贷,"to borrow, to lend"
凑,to gather together<div>to pool together</div>
我很感谢。。。,I'm grateful for...
屋子,room<div>house (w/ wu_)</div>
还清,to pay back (a loan) in full
财产,property<div>assets</div>
私有,privately owned
佩服,to admire (a person - not 欣赏)
如今,nowadays
两口子,a married couple
陈述,to state<div>to assert</div>
破裂,<div>to break up (w/ p)</div><div>to fracture</div>
充分,ample<br><div>sufficient</div><div>adequate</div>
趋势,trend<div>tendency</div>
落后,"backward (technology, culture, etc...)<div>behind</div>"
了不起,amazing<div>terrific</div>
成就,accomplishment<div>achievement</div>
缩影,epitome<div>miniature example of something</div>
富裕,affluent<div>affluence</div>
封闭,to close<div>to seal</div><div>closed<br>lockdown (n.)</div>
愚昧,ignorant<div>uneducated</div>
积极,active<div>proactive</div><div>vigorous</div>
转变,"to transform (w/ zh, not 转化)<div>transformation</div>"
消极,passive<div>inactive</div>
逐步,step by step (w/ zh)<div>progressively</div>
闲,idle<div>unoccupied</div>
时尚,fashion (n.)<div>something fashionable</div>
流汗,to sweat (w/ l)
气象,meteorology<br>meteorological feature
手续,proceedure (not surgical)<div>formalities</div>
受气,to be bullied
夹,to be placed in between
夹在中间,to be caught in the middle (of something)
握手,to shake hands
握,to hold (w/ w)<div>to grasp</div><div>to clench one's fist</div>
点头,to nod
宣判,to declare a sentence (in a court of law)
双方,both sides
今后,hereafter<div>henceforth</div>
最佳,optimal<div>best...</div>
给予,to give/accord/grant
文明,cultured<div>civilized</div><div>civilization</div>
不如。。。,not as good as...
往往,often (w/ w)
欺负,to bully
负担,to bear (a burden) (w/ f)<br>a burden
信用,credit (financial)
坦率的说...,Frankly...<div>To be blunt...</div>
坦率,frank<div>blunt</div>
汽水,soda
停电,to lose (electrical) power
A嫁给B,A marries B
课本,textbook
乞丐,beggar (w/ q)
欺骗,to deceive
节俭,frugal<div>economical</div>
模特,"model (of clothing, etc.)"
苏州,Suzhou
开幕,to open formally<div>to inaugerate</div>
大赛,big competition
顶尖,top (_ 尖)<div>top-notch</div>
超级,super
总决赛,finals<div>final competition</div>
大众,the public<div>the masses</div>
成为,to become<div>to turn into</div>
我想成为一名演员,I want to BECOME an actor
诚然,"indeed, truly... (w/ ch)"
确实,"certainly, indeed (w/ q)"
双赢,a win-win situation
层出不穷,to emerge one after another<div>to emerge in inumerable succession</div>
魅力,charm (enchantment)
有魅力,charming
借此,<div>owing to this...</div>
知名度,name-recognition<div>public profile</div>
成千上万,thousands upon thousands
观光,to go sightseeing
主办,host (_办)
舞台,stage<div>arena</div>
届,measure word for instance of a periodic event
据说。。。,it is said...
处处,everywhere (w/ 处_)<div>in all respects</div>
到处,everywhere (到_)
双胞胎,twins
滥,excessive （w/ l)<br>abusive
车展,auto-show<div>car exhibition</div>
代言人,spokesperson
大使,ambassador
身影,figure (of the human body)
时装,"fashion (n.)<br><span style=""color: var(--text-fg);"">fashionable clothes</span>"
A有如B,A is like B
持,"to hold, to maintain"
持意见,to hold an opinion
指出,to point out
商品,goods (w/ sh)<div>commodity</div>
促销,to promote (sales - w/ c)
商家,merchant<div>business (w/ sh)</div>
倍增,to double<div>to increase by multiples</div>
代,generation<div>age</div><div>era</div>
宣传,propaganda<div>advocacy</div>
不良,bad (_良)<div>harmful</div><div>adverse</div>
比方说...,for instance...
咋们打个比方吧,Let's suppose (by analogy)...
比方,"analogy, instance"
外表,outward appearance
整容手术,plastic surgery
进行整容手术,to have plastic surgery
性感,sexy
社会学家,sociologist
强化,<div>to intensify (w/ q)</div>
不利于...,is harmful to...
格式,format (not 格局)
我心意已决,my mind is made up
迫不及待,can't wait
我迫不及待想要。。。,I can't wait to...
实力,strength/power (abstract)
自私,selfish
毕生,lifetime (w/ b)
天文,astronomy
超新星,supernova
自尽,to commit suicide (_尽)<div>suicide</div>
指示,instructions<div>to instruct</div>
从今往后,from now on...
什么都完了！,it's all over!
奖杯,trophy (cup)
誓约,oath<div>pledge</div>
立下誓约,to make an oath
A不利于B,A is not favorible to B
重视,to attatch importance to something (w/ zh)
分工,division of labor (n.)<div>to divide up the labor (v.)</div>
奖金,reward (money)<div>bonus</div>
附着,to adhere<div>adhesive</div>
附件,attachment (email)
名誉,<div>reputation</div><div>honor (as in reputation)</div><div>fame</div>
不言而喻,it goes without saying<div>to be self-evident</div>
构成,to constitute (v.)<div>to make up</div>
十二个月构成一年,Twelve months make up a year.
诱惑,to tempt<div>to entice<div>to lure</div></div>
貌似动人,seemingly attractive (but actually not)
动人,touching (w/ d)<div>moving (w/ beauty)</div><div>attractive</div>
貌似,<div>it seems... (w/ m)</div>seemingly...<div>supposed</div>
软,soft
发挥作用,to produce a marked effect
发挥,to display (w/ _挥)<div>to exhibit</div><div>to express</div>
适当,suitable (w/ _当)<div>appropriate</div>
冲击,impact (literally and figuratively)<div>shock</div>
打的,to take a taxi (_的)
场合,occasion<div>setting/venue</div>
痴迷,obsessed<div>infatuated</div>
创作,to create (w/ _做)<div>creation</div>
创作的过程,"the creative process<div>(use the more artistic&nbsp;<span style=""color: var(--text-fg);"">创_)</span></div>"
科罗拉多,Colorado
量子论,quantum theory
职业道路,career path
烹饪,cooking (n.)
令人不快,offensive<div>objectionable</div><div>unpleasant</div>
偏向,to incline toward...<div>to be partial toward...</div>
欠,"to owe (money, debt, things)"
资金,funds
<table><tbody><tr><td>灵活性</td></tr></tbody></table>,flexibility
流动性,liquidity (of funds)<div>fluidity</div>
衰退,a downturn (economic)<div><div>a decline (general)</div></div><div>to decline</div>
虚假,false<div>phony</div>
有偏见的,biased<div>prejudiced</div>
偏见,bias<div>prejudice</div>
电动车,electric scooter
睡衣,pajamas
我们的隔壁,next door to us
隔壁,next door
农药,pesticides<div>agricultural chemicals generally</div>
鸟的叫声,birdcalls
叫声,yelling (made by a person)<div>call (made by an animal)</div><div>barking</div>
烧掉,to burn down<div>to burn generally</div><div>to incinerate</div>
火葬,to cremate<div>cremation</div>
坟墓,grave (w/ f)<div>tomb</div>
香味,fragrance<div>sweet smell</div>
杀菌,to kill germs<div>to disinfect</div><div>disinfectant</div>
打工,<div>to work a temporary job</div>
池塘,pond
掉进池塘<br>,to fall into a pond
除夕,lunar New Year's Eve
就上这样子,and that's it
带路,to lead the way<div>to guide the way</div>
踩到水里面,to step into the water
橘子,tangerine
巷子,alley
抓鱼,to catch fish
钓鱼,to fish (with hook and bait)
老人家,polite term for old man or woman
A用来B,A is used to B
非要...,absolutely must...<div>to insist on...</div>
大声,loud (of a voice)
说大声一点！,Speak louder!
柴火,firewood
拆掉,to tear down
拆,to demolish<div>to tear apart</div>
公害,public hazard/nuisance
当今,current<div>conremporary</div><div>nowadays...</div>
标志,"<div><span style=""color: var(--text-fg);"">sign/symbol</span><br></div><div>logo</div>"
因特网,internet (w/ 因_ _)
在三年之间。。。,Within three years...
横扫,to sweep across<div>to sweep away</div>
无处不在,to be everywhere<div>everwhere</div>
铃声,ring (the sound)
所谓的。。。,so-called... (w/ s)
代表,to represent<div>a representative</div>
拥有者,possessor
成本,"(manufacturing, production etc.) costs"
下降,to decline<div>a decline</div>
大众化,"<div><span style=""color: var(--text-fg);"">popularization</span><br></div><div>to popularize</div>"
享有,"to enjoy (rights, priviliges etc.)<div>to have access to...</div>"
无论你身在何方。。。,wherever you are...
随时,at any time<div>all times</div>
可以被理解为。。。,can be understood as...
刀剑,sword
刃,the edge of a blade
一柄双刃剑,a double edged sword
摩托车,motorcycle
交通事故,traffic accident
剧院,the theater (location - live performance)
会议厅,conference hall
滥用,to abuse<div>to misuse through excessive use</div>
引发,to trigger (w/ y)<div>to provoke</div><div>to cause</div>
手机响起,the cell phone rings
不在少数,not a few (as in quite a lot)
不时,<div>from time to time</div>now and then
干扰,to interfere (not 干涉)<div>interference</div><div>to disturb</div><div>distractions</div>
让人感到烦恼的,annoying
显而易见的,plain to see<div>clear and easy to see (idiom)</div><div>obvious</div>
泛滥,flood<br>to flood<div>to inundate</div>
总之...,in short...
跟踪,to track (someone)<div>tracking</div>
讥讽<br>,satire<div>ridicule</div><div>to satirize</div><div>to mock</div>
不无...,not without...
拴,to tie to something (attach - w/ sh)
沦为...,to be reduced to...
势必...,it is bound to...<div>it inevitably will...</div>
自觉地...,conciously...
间接,indirect (w/ j)<div>indirectly</div>
跟上,to keep up with<div>to keep pace with</div>
便利,<div>convenience (less common than 方便)</div><div>convenient</div>
立法,to legislate<div>legislation</div>
人手一部,ubiquitous<div>everyone has one</div>
繁荣,prosperous (w/ _荣)<div>booming</div>
制造商,manufacturer (company)
激烈,intense<div>fierce</div><div>vigorous</div><div>vehement</div>
经济不景气,economic slump/depression
裁员,to cut staff<div>to lay off employees</div>
部分...,in part...<div>partially...</div>
局面,situation (w/ j)
纷纷,one after another (w/ f)
应付,to deal with (w/ y)<div>to cope with</div>
下跌,to tumble<div>to fall (especially of prices)</div>
通信,communication (w/ t)
数额,amount (especially of money)
库存量,(amount of) inventory
亏损,deficit<div>losses (financial)</div>
销售额,sales volume
大幅下滑,a sharp decline<div>a sharp slide</div>
华盛顿,Washington
亚当斯,Adams
乔治,George
约翰,John
托马斯,Thomas
杰斐逊,Jefferson
亚历山大,Alexander
汉密尔顿,Hamilton
本杰明,Benjamin
富兰克林,Franklin
詹姆斯,James
麦迪逊,Madison
大爆炸,the Big Bang
重力,gravity (w/ zh)
弦理论,String Theory
贴近,to press (stick) close to...<div>intimate</div>
空余时间,free time<div>spare time</div>
空余,free<div>vacant/unoccupied</div>
结合,to combine
缺点,a weak point<div>a shortcoming</div><div>fault/failure</div>
原子,atom
分子,molecule
海平面,sea level
研发,"to develop... (products, technologies)<br>research and development"
水井,well (of water)
古老,ancient
水泥,cement
泥巴,mud
一个家人,a family member
一个户人家,a household
打牌,to play cards
一张牌,a (playing) card
一副牌,a deck of cards
嘘!,shhh!<div>hush!</div>
它锁定了,it is locked
解锁,unlocked<div>released</div>
把它弄湿了,to get it wet
内衣,underwear
审美,aesthetics (as in sense of beauty)
美学,aesthetics (as a field of philosphy)
助教,teaching assistant
肤色,skin color
培训,to train<div>to cultivate</div>
训练,to train<div>training</div>
机构,"institution<div>mechanism/<span style=""color: var(--text-fg);"">structure</span></div>"
由此产生的裁员,the resulting layoffs
寺庙,temple<div>monastary</div><div>shrine</div>
语境,context (in language)
症状,symptom
弯路,a detour<div>a winding road</div><div>a roundabout way</div>
装修,<div>to renovate (interior)<br></div>to decorate<div>interior decoration</div>
激动,exciting<div>to excite</div><div>to move emotionally</div>
自律,self-discipline
他做了一个梦,he had a dream
托梦,dream (literal)
剧本,"script (for play, movie, etc.)"
真相,the truth
戒律,precepts (religious or otherwise)
信奉,a belief<div>to believe</div>
虔诚,religious<div>devout<br><div>pious</div></div>
联络,contact (not 联系)<div>to get in contact</div>
和他联络,to get in contact with him
毒品,drugs<div>narcotics</div>
全面,comprehensive
推行,to promote<div>to put into effect</div><div>to carry out</div>
繁体字,traditional characters
简体字,simplified characters
通用,"widely used/universal (language, textbook, etc. w/ t)"
明确,clear cut (not 明显)<div>definite</div>
规范,"standard, normal (汉字，做法... w/ g)"
汉字,Chinese character
规定,to regulate<div>to stipulate</div><div>regulation</div>
岗位,post (employment)
电台,radio station<div>a transmitter-receiver</div>
播音员,broadcaster<div>radio announcer</div>
主持人,host (of show)
影视,film and television
机关,organ/institution/body<div>mechanism</div>
应当,should
具备,to possess
等级,rank/status (NOT social)
招牌,"sign (for a shop, etc)"
名称,name (of a thing or organization)
包装,packaging<div>wrapping</div>
出版物,publication (n.)
用字,diction (not 用语)
辽阔,"vast, extensive (in area)"
演讲,"a talk (academic, etc...)"
行动,actions (w/ x)
下面,"next, following..."
原则,principle
模仿,"to imitate, to mimic"
掌握,to grasp (often figuratively)
尽可能早,as early as possible
某某某...,such and such...
下意识,subconcious (n.)
学术性的,academic (adj.)<br>technical
画面,image (w/ h)<br>picture
具体,specific (w/ j)<br>definite<br>concrete
肢体语言,body language
哪怕。。。,even if... (w/ n)
泡,to soak
到位,"on point (as in accurate, precise, well-done)"
吸收,absorb
心烦,upset (adj.)<div>irritated</div>
阻碍,to hinder<br>a hinderance
酸疼,to ache<br>to be sore<br>sore
歧义,ambiguity
全职...,full-time (adj)<div>full-time job (n.)</div>
兼职,part-time (adj.)<div>part-time job (n.)</div>
尤其是,especially... (w/ y)
动画片,animated film<div>cartoon</div>
主页,home page<div>main screen</div>
内置...,Built-in...
删除,to delete
立刻,immediately (not mashang)<div>at once</div>
键盘,keyboard<div>keypad</div>
沉迷于...,"to be addicted to...<div>(as in to be totally engrossed in hobby, etc...)</div>"
对吸毒上瘾,to be addicted to drugs
流畅,"flowing (of speech, music, writing)"
曲子,piece (musical)
节奏,rhythm<div>beat</div><div>tempo</div>
康熙,Kangxi
嘉宾,guest (on a show)
正经,"serious (person, matters, etc. - w/ zh)"
开明,open minded (not 开放)
难找,hard to find
好找,easy to find
独子,only child
尽量,as much as possible...<div>to the greatest extent...</div>
幼稚,childish
没收,to confiscate<div>to seize</div>
戒掉,"to quit (smoking, gambling, etc)"
孝顺父母,to be filial towards parents
OK,OK
理想 (东西),ideal (thing)
我理想中的。。。,My ideal (thing)
闻到&nbsp;(smth),to smell (smth)
正确,correct (adj.)
麻木,numb<div>numbness</div>
时间表,schedule (n.)<div>timetable</div>
阶段,stage<div>phase</div>
我这个年龄段...,at my age...
排在第一位,to be ranked first
排名第二,to be ranked second
金钱,money
另一半,other half (romantic partner)
观念,concept/sense (the deep understanding of one's mind)<div><div>idea</div></div>
咯!,particle indicating the something is obvious
看重,to put value on... (w/ k)
选择题,multiple choice question
一家人,a family
想好,to think through and decide
一个阴天,a cloudy day
问句,a question (as in a sentence)
Subj. + 还是 + [Verb Phrase] + 吧,Subj. + had better + [Verb Phrase]
灰尘,dust<div>ash</div>
打哈欠,to yawn
哈欠,a yawn
擤鼻涕,to blow one's nose
擤,to blow one's nose
鼻涕,nasal mucus
鼻垢,booger<div>(more solid nasal mucus)</div>
打喷嚏,to sneeze
喷嚏,sneeze (n.)
蹲,to squat<div>to crouch</div>
我舍不得放手,I can't bear to let go<div>(fig. or literal)</div>
抱,to hug
嚼,to chew
口香糖,chewing gum
脱掉我的外套,to take off my coat
脱,to take off (clothes or shoes)
外套,coat (w/ w)
表,table (listing information)
更新,to update<div>to renew<br><div>to upgrade</div></div>
例句,example sentence
捡起来,to pick up
舔,to lick
棒棒糖,lolipop
抓,"to scratch (one's skin, etc)"
页面,page (webpage or application)
盯,to stare<div>to stare at</div>
系,system<br>department/faculty
系鞋带,to tie one's shoe laces
摇头,to shake one's head
绊倒,"to trip, to stumble (passive, by something)"
侄女,brother's daughter<div>niece</div>
侄子,brother's son<div>nephew</div>
甥女,sister's daughter<div>niece</div>
外甥,sister's son<div>nephew</div>
隐私,privacy
马来西亚,Malaysia
爱因斯坦,Einstein
创始人,"founder (of religion, theory, etc.)"
创办人,founder (of institution)
怂恿,<div>to instigate</div><div>to egg somebody on</div>
聊到,to mention (w/ l)<div>to talk about</div>
对。。。不感冒,to not be interested in something (colloqial)
一个一个,one by one
打扮,to dress up
情节,"plot (of book, movie...)"
简洁,concise (not terse - 简短)
战争片,war movies
恐怖片,horror movies
龙珠,Dragon Ball (show)<br>
缺少,to lack
和服,kimono
料理,cuisine (w/ l)
咖喱,curry
照搬,to copy (not 模仿)<div>to imitate</div>
婆婆,husband's mother
岳母,wife's mother
岳父,wife's father
无法想象,unimaginable (w/ w)
卡洛里,calorie
户外,outside (w/ h)
舱,cabin<div>hold of a ship or plane</div>
头等舱,first-class (plane)
商务舱,business class (plane)
经济舱,economy class (plane)
发冷,to have the chills (clinical symptom)<div>to feel a chill (emotional response)</div>
专注,to focus (w/ zh)
她专注在她的新工作上,She focused on her new job.
痴肥,obese
A的相反,the opposite of A
举铁,to lift weights (to pump IRON)
举重,to lift weights<div>weight lifting</div>
强暴,rape
据我所知。。,as far as I know...
相对来说...,relatively speaking...
相对,relatively (adj.)<div>opposite</div>
相对少量,a relatively small amount
折磨,to torment<div>torment</div>
沉重,"heavy (topic, etc)"
稍显,slightly...<div>somewhat...</div>
家暴,domestic violence
用完,to use up<br>to be used up
买完,sold out<br>to sell out
结果补语,resultative complement
闪卡,flashcard
装满,"<div>to pack (untill full)</div>to fill up (a container, bucket, bottle, etc)<br>"
桶子,bucket
相应的。。。,the corresponding...
倒满,"to poor till filling (of a cup, etc.)"
放大,to enlarge<br>to zoom in
养大,to bring up (a child - RC)
弄坏,to break something (by usage)
压坏,to crush (something)<br>to smash<br>to squash
我不小心。。,I accidentally...<br>I carelessly...
弄脏,to get something dirty (by usage)
穿脏,to get something dirty (by wearing)
跑累,to become tired by running
增肥,to gain weight (w/ z)
摔坏,to break (by dropping - w/ sh)
摔,to drop (w/ sh)<br>to fall
商量好,to reach an agreement by discussion
一片面包,a slice of bread
一条面包,a loaf of bread
受够,to have had enough of (literal and figurative)<br>to be fed up with
睡够,to get enough sleep
回复你,to get back to you
刹不住,"unable to stop/break (of car, bike, etc.)"
淤青,bruise
短裤,shorts
心疼,distressed<div>concerned</div>
通常,usually (w/ t)
玩滑板,to go skateboarding
滑板,skateboard
事务,"affairs (political, economic, etc)"
系列,series
一系列视频,a series of videos
特意,specially... (to emphasize)<div>specifically...<br><div>intentionally...</div></div>
同样,same (w/ t)
我是一名大三的学生,I'm a junior in college
前妻,ex-wife
前夫,ex-husband
支付宝,Alipay
付款,payment<div>to pay</div>
美式,americano (coffee)
下单,to place an order (general)
展示,to exhibit (w/ zh)<div>to show</div>
测量,to measure<div>measurement</div>
基地,"base (of operations, military, etc)"
名片,buisiness card
出发,to set off (on a trip/journey)
集合,to gather<div>to assemble</div><div>a set (math)</div>
原谅,to forgive<div>forgiveness</div>
章,chapter
变体,variant (n.)
评论家,critics<div>reviewers</div>
尝,to taste<div>to try</div>
正方形,square
长方形,rectangle
陡,steep
斜度,slope (n.)
势能,potential energy
动能,kinetic energy
动量,momentum
质量,mass (physics)
加速度,acceleration
重量,weight (general)
资料,information/material
男子气概,masculinity
腰,Waist
留言,to leave a message<div>message</div>
他给我留言,He left me a message
张家界,Zhangjiajie
美发店,hair salon
发型师,hair stylist (NOT barber)
大胆,bold
预约,to reserve (not 预定)<div>a reservation</div>
刘海,bangs (hair)
